Month,Barranco,La Molina ,Miraflores,San Borja,San Isidro,Surco,Jesus Maria,Lince,Magdalena,Pueblo Libre,San Miguel,Surquillo
1/1/2012,,1154,1695,1412,1769,1286,1095,1006,1135,1043,1000,
4/1/2012,,1160,1905,1493,1946,1471,1317,1076,1233,1131,1064,
7/1/2012,,1188,1835,1511,1865,1588,1320,1228,1261,1096,1147,
10/1/2012,,1252,1875,1667,2083,1408,1343,1251,1374,1204,1158,
1/1/2013,2069,1313,2000,1766,1999,1685,1382,1161,1380,1188,1160,1326
4/1/2013,1903,1438,2204,1818,2065,1658,1427,1300,1429,1243,1216,1456
7/1/2013,1976,1487,2154,1838,2210,1667,1500,1453,1461,1302,1270,1549
10/1/2013,2001,1460,2081,1745,2207,1654,1558,1469,1422,1407,1248,1614
1/1/2014,2257,1604,2167,1828,2344,1807,1511,1453,1554,1409,1330,1566
4/1/2014,2152,1500,2328,2017,2357,1991,1570,1504,1500,1437,1268,1589
7/1/2014,1752,1424,2111,1937,2101,1870,1616,1443,1569,1417,1235,1587
10/1/2014,1878,1419,2077,1969,2200,1715,1630,1350,1510,1455,1272,1613
1/1/2015,2256,1398,2122,1857,2188,1822,1515,1616,1524,1384,1250,1500
4/1/2015,2188,1534,2097,1804,2071,1801,1552,1333,1495,1362,1212,1534
7/1/2015,2176,1333,2016,1844,2188,1759,1538,1538,1515,1337,1313,1616
10/1/2015,1834,1471,2078,1854,2063,1767,1491,1435,1467,1367,1239,1519
1/1/2016,1868,1399,2146,1815,2214,1698,1552,1441,1487,1467,1159,1512
4/1/2016,1881,1373,2118,1895,2000,1654,1492,1423,1480,1372,1235,1554
7/1/2016,2199,1433,2184,1850,2313,1719,1506,1789,1544,1398,1250,1516
10/1/2016,2363,1500,2222,1876,2278,1682,1474,1395,1669,1438,1232,1508
1/1/2017,2357,1484,2157,1847,2316,1816,1591,1491,1493,1442,1294,1571
4/1/2017,2209,1476,2111,1830,2245,1826,1589,1655,1533,1483,1213,1484
7/1/2017,2385,1391,2286,1850,2189,1746,1665,1598,1575,1500,1291,1571
10/1/2017,2120,1456,2104,1809,2294,1667,1600,1432,1580,1453,1327,1554
1/1/2018,2109,1387,2150,1897,2169,1686,1644,1566,1661,1417,1387,1590
4/1/2018,2047,1333,2143,1848,2164,1667,1651,1567,1654,1492,1301,1646
7/1/2018,2063,1453,2186,1843,2296,1654,1674,1589,1667,1569,1356,1589
10/1/2018,2637,1396,2136,1820,2207,1755,1656,1571,1667,1531,1307,1669
1/1/2019,2259,1495,2175,1800,2295,1727,1700,1638,1614,1471,1333,1663
4/1/2019,2455,1478,2241,1853,2232,1778,1788,1674,1654,1461,1386,1670
7/1/2019,2273,1500,2202,1875,2224,1735,1781,1729,1588,1486,1367,1734
10/1/2019,2496,1419,2178,1777,2217,1726,1734,1578,1669,1509,1354,1686
1/1/2020,2513,1429,2222,1831,2191,1688,1744,1771,1577,1554,1322,1707
4/1/2020,2655,1434,2247,1915,2356,1750,1685,1701,1761,1544,1306,1652
7/1/2020,2520,1458,2260,1782,2208,1790,1616,1733,1714,1467,1400,1794
10/1/2020,2354,1582,2210,1981,2215,1769,1688,1736,1626,1596,1392,1746
1/1/2021,2236,1524,2200,1981,2173,1764,1709,1715,1846,1573,1385,1737
4/1/2021,2316,1465,2243,1949,2093,1782,1692,1676,1667,1476,1382,1723
7/1/2021,2169,1510,2222,1950,2125,1782,1632,1675,1735,1468,1410,1733
10/1/2021,1984,1439,2110,1963,2040,1734,1658,1596,1664,1417,1435,1769
1/1/2022,2277,1538,2102,1889,1974,1726,1728,1912,1729,1587,1439,1696
4/1/2022,2325,1579,2113,1926,2164,1792,1680,1773,1731,1519,1428,1720
